location_id,location_name,iso3_code,maj_admin_region,min_admin_region,source_longitude,source_latitude,source_longlat_srs,create_date,mod_date,gid
RAS2436607024001,Portland Yacht Services,USA,ME,Portland,-70.24314,43.6623,EPSG:4326,,,143
RAS0000000000001,Wells Harbor,USA,ME,Wells,-70.5635,43.32,EPSG:4326,8/2/2007 14:46,8/2/2007 14:57,151
RAS2435607019001,Dyer Cove,USA,ME,Cape Elizabeth,-70.197605,43.565288,EPSG:4326,7/26/2010 11:43,7/26/2010 11:43,197
RAS2448506705001,Federal Harbor Urchin Farm,USA,ME,,-67.053617,44.86035,EPSG:4326,,,162
RAS0000000000011,Darling Marine Center Dock,USA,ME,Walpole,-69.58112,43.93508,EPSG:4326,8/2/2007 15:27,8/2/2007 15:27,172
RAS2448806700001,Estes Head at Heritage Salmon Farm,USA,ME,,-67.001417,44.895367,EPSG:4326,,,273
RAS2449106698001,Harris Point,USA,ME,,-66.99645,44.9178,EPSG:4326,,,113
RAS2436407023001,Port Harbor Marine,USA,ME,South Portland,-70.23088,43.64958,EPSG:4326,,,111
RAS0000000000002,Journey's End Marina,USA,ME,Rockland,-69.10209,44.10484,EPSG:4326,8/2/2007 15:53,8/2/2007 15:54,259
RAS2444106719001,Robbinston,USA,ME,,-67.108617,45.083533,EPSG:4326,,,265
RAS0000000000003,Wayfarer Marina,USA,ME,Camden,-69.06129,44.20948,EPSG:4326,8/2/2007 15:46,8/2/2007 15:46,174
RAS0000000000006,Maine Department of Marine Resources Docks,USA,ME,,-69.64082,43.84438,EPSG:4326,8/2/2007 15:36,8/2/2007 15:36,175
RAS2449006698001,Eastport Public Pier & Breakwater,USA,ME,,-66.9841,44.9062,EPSG:4326,,,249
RAS2436707025001,Maine Yacht Center,USA,ME,Portland,-70.2528,43.679356,EPSG:4326,8/6/2007 16:39,8/6/2007 16:41,137
RAS2438207010001,Brewer South Freeport Maine,USA,ME,South Freeport,-70.10529,43.82094,EPSG:4326,,,271
RAS2448806700002,Estes Head Heritage Salmon Farm Open Sea,USA,ME,,-67.00768,44.89686,EPSG:4326,,,187
